time,nof_ue,dl_brate,ul_brate,dataset_group,scenario,training_id,experiment_id,base_station_id,source_file,bs_lambda_total
1602351610878,9,360960.0,51360.0,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,412320.0
1602351611128,9,417536.0,32928.0,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,450464.0
1602351611378,9,530112.0,23296.0,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,553408.0
1602351611628,9,565056.0,21600.0,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,586656.0
1602351611878,9,491072.0,49504.0,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,540576.0
1602351612128,9,428218.75,57344.0,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,485562.75
1602351612378,9,456273.59375,117335.84375,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,573609.4375
1602351612628,9,525920.0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,525920.0
1602351612878,9,381600.0,19104.0,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,400704.0
1602351613128,9,349536.0,64512.0,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,414048.0
1602351613378,9,395200.0,41632.0,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,436832.0
1602351613628,9,380928.0,1568.0,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,382496.0
1602351613878,9,348576.0,33888.0,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,382464.0
1602351614128,9,407808.0,67584.0,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,475392.0
1602351614378,9,372291.71875,17792.0,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,390083.71875
1602351614628,9,398108.0625,111368.796875,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,509476.859375
1602351614878,9,389861.0,20048.193359,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,409909.193359
